Id,Dataset,Filepath,Filename,Ext,Speaker,Text,Gender,Intensity/Level,Emotion
35,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITS_DIS_XX.wav,1001_ITS_DIS_XX.wav,.wav,Crema_1001,I think I've seen this before,Male,Unspecified,Disgust
36,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITS_FEA_XX.wav,1001_ITS_FEA_XX.wav,.wav,Crema_1001,I think I've seen this before,Male,Unspecified,Fear
37,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITS_HAP_XX.wav,1001_ITS_HAP_XX.wav,.wav,Crema_1001,I think I've seen this before,Male,Unspecified,Happy
38,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITS_NEU_XX.wav,1001_ITS_NEU_XX.wav,.wav,Crema_1001,I think I've seen this before,Male,Unspecified,Neutral
39,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITS_SAD_XX.wav,1001_ITS_SAD_XX.wav,.wav,Crema_1001,I think I've seen this before,Male,Unspecified,Sad
40,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWL_ANG_XX.wav,1001_IWL_ANG_XX.wav,.wav,Crema_1001,I would like a new alarm clock,Male,Unspecified,Anger
41,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWL_DIS_XX.wav,1001_IWL_DIS_XX.wav,.wav,Crema_1001,I would like a new alarm clock,Male,Unspecified,Disgust
42,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWL_FEA_XX.wav,1001_IWL_FEA_XX.wav,.wav,Crema_1001,I would like a new alarm clock,Male,Unspecified,Fear
43,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWL_HAP_XX.wav,1001_IWL_HAP_XX.wav,.wav,Crema_1001,I would like a new alarm clock,Male,Unspecified,Happy
44,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWL_NEU_XX.wav,1001_IWL_NEU_XX.wav,.wav,Crema_1001,I would like a new alarm clock,Male,Unspecified,Neutral
45,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWL_SAD_XX.wav,1001_IWL_SAD_XX.wav,.wav,Crema_1001,I would like a new alarm clock,Male,Unspecified,Sad
46,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWW_ANG_XX.wav,1001_IWW_ANG_XX.wav,.wav,Crema_1001,I wonder what this is about,Male,Unspecified,Anger
47,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWW_DIS_XX.wav,1001_IWW_DIS_XX.wav,.wav,Crema_1001,I wonder what this is about,Male,Unspecified,Disgust
48,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWW_FEA_XX.wav,1001_IWW_FEA_XX.wav,.wav,Crema_1001,I wonder what this is about,Male,Unspecified,Fear
49,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWW_HAP_XX.wav,1001_IWW_HAP_XX.wav,.wav,Crema_1001,I wonder what this is about,Male,Unspecified,Happy
50,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWW_NEU_XX.wav,1001_IWW_NEU_XX.wav,.wav,Crema_1001,I wonder what this is about,Male,Unspecified,Neutral
51,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWW_SAD_XX.wav,1001_IWW_SAD_XX.wav,.wav,Crema_1001,I wonder what this is about,Male,Unspecified,Sad
52,CREMA-D,./dataset/crema-d\AudioWAV\1001_MTI_ANG_XX.wav,1001_MTI_ANG_XX.wav,.wav,Crema_1001,Maybe tomorrow it will be cold,Male,Unspecified,Anger
53,CREMA-D,./dataset/crema-d\AudioWAV\1001_MTI_DIS_XX.wav,1001_MTI_DIS_XX.wav,.wav,Crema_1001,Maybe tomorrow it will be cold,Male,Unspecified,Disgust
54,CREMA-D,./dataset/crema-d\AudioWAV\1001_MTI_FEA_XX.wav,1001_MTI_FEA_XX.wav,.wav,Crema_1001,Maybe tomorrow it will be cold,Male,Unspecified,Fear
55,CREMA-D,./dataset/crema-d\AudioWAV\1001_MTI_HAP_XX.wav,1001_MTI_HAP_XX.wav,.wav,Crema_1001,Maybe tomorrow it will be cold,Male,Unspecified,Happy
56,CREMA-D,./dataset/crema-d\AudioWAV\1001_MTI_NEU_XX.wav,1001_MTI_NEU_XX.wav,.wav,Crema_1001,Maybe tomorrow it will be cold,Male,Unspecified,Neutral
57,CREMA-D,./dataset/crema-d\AudioWAV\1001_MTI_SAD_XX.wav,1001_MTI_SAD_XX.wav,.wav,Crema_1001,Maybe tomorrow it will be cold,Male,Unspecified,Sad
58,CREMA-D,./dataset/crema-d\AudioWAV\1001_TAI_ANG_XX.wav,1001_TAI_ANG_XX.wav,.wav,Crema_1001,The airplane is almost full,Male,Unspecified,Anger
59,CREMA-D,./dataset/crema-d\AudioWAV\1001_TAI_DIS_XX.wav,1001_TAI_DIS_XX.wav,.wav,Crema_1001,The airplane is almost full,Male,Unspecified,Disgust
60,CREMA-D,./dataset/crema-d\AudioWAV\1001_TAI_FEA_XX.wav,1001_TAI_FEA_XX.wav,.wav,Crema_1001,The airplane is almost full,Male,Unspecified,Fear
61,CREMA-D,./dataset/crema-d\AudioWAV\1001_TAI_HAP_XX.wav,1001_TAI_HAP_XX.wav,.wav,Crema_1001,The airplane is almost full,Male,Unspecified,Happy
62,CREMA-D,./dataset/crema-d\AudioWAV\1001_TAI_NEU_XX.wav,1001_TAI_NEU_XX.wav,.wav,Crema_1001,The airplane is almost full,Male,Unspecified,Neutral
63,CREMA-D,./dataset/crema-d\AudioWAV\1001_TAI_SAD_XX.wav,1001_TAI_SAD_XX.wav,.wav,Crema_1001,The airplane is almost full,Male,Unspecified,Sad
64,CREMA-D,./dataset/crema-d\AudioWAV\1001_TIE_ANG_XX.wav,1001_TIE_ANG_XX.wav,.wav,Crema_1001,That is exactly what happened,Male,Unspecified,Anger
65,CREMA-D,./dataset/crema-d\AudioWAV\1001_TIE_DIS_XX.wav,1001_TIE_DIS_XX.wav,.wav,Crema_1001,That is exactly what happened,Male,Unspecified,Disgust
66,CREMA-D,./dataset/crema-d\AudioWAV\1001_TIE_FEA_XX.wav,1001_TIE_FEA_XX.wav,.wav,Crema_1001,That is exactly what happened,Male,Unspecified,Fear
67,CREMA-D,./dataset/crema-d\AudioWAV\1001_TIE_HAP_XX.wav,1001_TIE_HAP_XX.wav,.wav,Crema_1001,That is exactly what happened,Male,Unspecified,Happy
68,CREMA-D,./dataset/crema-d\AudioWAV\1001_TIE_NEU_XX.wav,1001_TIE_NEU_XX.wav,.wav,Crema_1001,That is exactly what happened,Male,Unspecified,Neutral
69,CREMA-D,./dataset/crema-d\AudioWAV\1001_TIE_SAD_XX.wav,1001_TIE_SAD_XX.wav,.wav,Crema_1001,That is exactly what happened,Male,Unspecified,Sad
70,CREMA-D,./dataset/crema-d\AudioWAV\1001_TSI_ANG_XX.wav,1001_TSI_ANG_XX.wav,.wav,Crema_1001,The surface is slick,Male,Unspecified,Anger
71,CREMA-D,./dataset/crema-d\AudioWAV\1001_TSI_DIS_XX.wav,1001_TSI_DIS_XX.wav,.wav,Crema_1001,The surface is slick,Male,Unspecified,Disgust
72,CREMA-D,./dataset/crema-d\AudioWAV\1001_TSI_FEA_XX.wav,1001_TSI_FEA_XX.wav,.wav,Crema_1001,The surface is slick,Male,Unspecified,Fear
73,CREMA-D,./dataset/crema-d\AudioWAV\1001_TSI_HAP_XX.wav,1001_TSI_HAP_XX.wav,.wav,Crema_1001,The surface is slick,Male,Unspecified,Happy
74,CREMA-D,./dataset/crema-d\AudioWAV\1001_TSI_NEU_XX.wav,1001_TSI_NEU_XX.wav,.wav,Crema_1001,The surface is slick,Male,Unspecified,Neutral
75,CREMA-D,./dataset/crema-d\AudioWAV\1001_TSI_SAD_XX.wav,1001_TSI_SAD_XX.wav,.wav,Crema_1001,The surface is slick,Male,Unspecified,Sad
76,CREMA-D,./dataset/crema-d\AudioWAV\1001_WSI_ANG_XX.wav,1001_WSI_ANG_XX.wav,.wav,Crema_1001,We'll stop in a couple of minutes,Male,Unspecified,Anger
77,CREMA-D,./dataset/crema-d\AudioWAV\1001_WSI_DIS_XX.wav,1001_WSI_DIS_XX.wav,.wav,Crema_1001,We'll stop in a couple of minutes,Male,Unspecified,Disgust
78,CREMA-D,./dataset/crema-d\AudioWAV\1001_WSI_FEA_XX.wav,1001_WSI_FEA_XX.wav,.wav,Crema_1001,We'll stop in a couple of minutes,Male,Unspecified,Fear
79,CREMA-D,./dataset/crema-d\AudioWAV\1001_WSI_HAP_XX.wav,1001_WSI_HAP_XX.wav,.wav,Crema_1001,We'll stop in a couple of minutes,Male,Unspecified,Happy
80,CREMA-D,./dataset/crema-d\AudioWAV\1001_WSI_NEU_XX.wav,1001_WSI_NEU_XX.wav,.wav,Crema_1001,We'll stop in a couple of minutes,Male,Unspecified,Neutral
81,CREMA-D,./dataset/crema-d\AudioWAV\1001_WSI_SAD_XX.wav,1001_WSI_SAD_XX.wav,.wav,Crema_1001,We'll stop in a couple of minutes,Male,Unspecified,Sad
82,CREMA-D,./dataset/crema-d\AudioWAV\1002_DFA_ANG_XX.wav,1002_DFA_ANG_XX.wav,.wav,Crema_1002,Don't forget a jacket,Female,Unspecified,Anger
83,CREMA-D,./dataset/crema-d\AudioWAV\1002_DFA_DIS_XX.wav,1002_DFA_DIS_XX.wav,.wav,Crema_1002,Don't forget a jacket,Female,Unspecified,Disgust
84,CREMA-D,./dataset/crema-d\AudioWAV\1002_DFA_FEA_XX.wav,1002_DFA_FEA_XX.wav,.wav,Crema_1002,Don't forget a jacket,Female,Unspecified,Fear
85,CREMA-D,./dataset/crema-d\AudioWAV\1002_DFA_HAP_XX.wav,1002_DFA_HAP_XX.wav,.wav,Crema_1002,Don't forget a jacket,Female,Unspecified,Happy
86,CREMA-D,./dataset/crema-d\AudioWAV\1002_DFA_NEU_XX.wav,1002_DFA_NEU_XX.wav,.wav,Crema_1002,Don't forget a jacket,Female,Unspecified,Neutral
87,CREMA-D,./dataset/crema-d\AudioWAV\1002_DFA_SAD_XX.wav,1002_DFA_SAD_XX.wav,.wav,Crema_1002,Don't forget a jacket,Female,Unspecified,Sad
88,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_ANG_HI.wav,1002_IEO_ANG_HI.wav,.wav,Crema_1002,It's eleven o'clock,Female,High,Anger
89,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_ANG_LO.wav,1002_IEO_ANG_LO.wav,.wav,Crema_1002,It's eleven o'clock,Female,Low,Anger
90,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_ANG_MD.wav,1002_IEO_ANG_MD.wav,.wav,Crema_1002,It's eleven o'clock,Female,Medium,Anger
91,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_DIS_HI.wav,1002_IEO_DIS_HI.wav,.wav,Crema_1002,It's eleven o'clock,Female,High,Disgust
92,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_DIS_LO.wav,1002_IEO_DIS_LO.wav,.wav,Crema_1002,It's eleven o'clock,Female,Low,Disgust
93,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_DIS_MD.wav,1002_IEO_DIS_MD.wav,.wav,Crema_1002,It's eleven o'clock,Female,Medium,Disgust
94,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_FEA_HI.wav,1002_IEO_FEA_HI.wav,.wav,Crema_1002,It's eleven o'clock,Female,High,Fear
95,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_FEA_LO.wav,1002_IEO_FEA_LO.wav,.wav,Crema_1002,It's eleven o'clock,Female,Low,Fear
96,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_FEA_MD.wav,1002_IEO_FEA_MD.wav,.wav,Crema_1002,It's eleven o'clock,Female,Medium,Fear
97,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_HAP_HI.wav,1002_IEO_HAP_HI.wav,.wav,Crema_1002,It's eleven o'clock,Female,High,Happy
98,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_HAP_LO.wav,1002_IEO_HAP_LO.wav,.wav,Crema_1002,It's eleven o'clock,Female,Low,Happy
99,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_HAP_MD.wav,1002_IEO_HAP_MD.wav,.wav,Crema_1002,It's eleven o'clock,Female,Medium,Happy
100,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_NEU_XX.wav,1002_IEO_NEU_XX.wav,.wav,Crema_1002,It's eleven o'clock,Female,Unspecified,Neutral
101,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_SAD_HI.wav,1002_IEO_SAD_HI.wav,.wav,Crema_1002,It's eleven o'clock,Female,High,Sad
102,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_SAD_LO.wav,1002_IEO_SAD_LO.wav,.wav,Crema_1002,It's eleven o'clock,Female,Low,Sad
103,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_SAD_MD.wav,1002_IEO_SAD_MD.wav,.wav,Crema_1002,It's eleven o'clock,Female,Medium,Sad
104,CREMA-D,./dataset/crema-d\AudioWAV\1002_IOM_ANG_XX.wav,1002_IOM_ANG_XX.wav,.wav,Crema_1002,I'm on my way to the meeting,Female,Unspecified,Anger
105,CREMA-D,./dataset/crema-d\AudioWAV\1002_IOM_DIS_XX.wav,1002_IOM_DIS_XX.wav,.wav,Crema_1002,I'm on my way to the meeting,Female,Unspecified,Disgust
106,CREMA-D,./dataset/crema-d\AudioWAV\1002_IOM_FEA_XX.wav,1002_IOM_FEA_XX.wav,.wav,Crema_1002,I'm on my way to the meeting,Female,Unspecified,Fear
107,CREMA-D,./dataset/crema-d\AudioWAV\1002_IOM_HAP_XX.wav,1002_IOM_HAP_XX.wav,.wav,Crema_1002,I'm on my way to the meeting,Female,Unspecified,Happy
108,CREMA-D,./dataset/crema-d\AudioWAV\1002_IOM_NEU_XX.wav,1002_IOM_NEU_XX.wav,.wav,Crema_1002,I'm on my way to the meeting,Female,Unspecified,Neutral
109,CREMA-D,./dataset/crema-d\AudioWAV\1002_IOM_SAD_XX.wav,1002_IOM_SAD_XX.wav,.wav,Crema_1002,I'm on my way to the meeting,Female,Unspecified,Sad
110,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITH_ANG_XX.wav,1002_ITH_ANG_XX.wav,.wav,Crema_1002,I think I have a doctor's appointment,Female,Unspecified,Anger
111,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITH_DIS_XX.wav,1002_ITH_DIS_XX.wav,.wav,Crema_1002,I think I have a doctor's appointment,Female,Unspecified,Disgust
112,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITH_FEA_XX.wav,1002_ITH_FEA_XX.wav,.wav,Crema_1002,I think I have a doctor's appointment,Female,Unspecified,Fear
113,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITH_HAP_XX.wav,1002_ITH_HAP_XX.wav,.wav,Crema_1002,I think I have a doctor's appointment,Female,Unspecified,Happy
114,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITH_NEU_XX.wav,1002_ITH_NEU_XX.wav,.wav,Crema_1002,I think I have a doctor's appointment,Female,Unspecified,Neutral
115,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITH_SAD_XX.wav,1002_ITH_SAD_XX.wav,.wav,Crema_1002,I think I have a doctor's appointment,Female,Unspecified,Sad
116,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITS_ANG_XX.wav,1002_ITS_ANG_XX.wav,.wav,Crema_1002,I think I've seen this before,Female,Unspecified,Anger
117,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITS_DIS_XX.wav,1002_ITS_DIS_XX.wav,.wav,Crema_1002,I think I've seen this before,Female,Unspecified,Disgust
118,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITS_FEA_XX.wav,1002_ITS_FEA_XX.wav,.wav,Crema_1002,I think I've seen this before,Female,Unspecified,Fear
119,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITS_HAP_XX.wav,1002_ITS_HAP_XX.wav,.wav,Crema_1002,I think I've seen this before,Female,Unspecified,Happy
120,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITS_NEU_XX.wav,1002_ITS_NEU_XX.wav,.wav,Crema_1002,I think I've seen this before,Female,Unspecified,Neutral
121,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITS_SAD_XX.wav,1002_ITS_SAD_XX.wav,.wav,Crema_1002,I think I've seen this before,Female,Unspecified,Sad
122,CREMA-D,./dataset/crema-d\AudioWAV\1002_IWL_ANG_XX.wav,1002_IWL_ANG_XX.wav,.wav,Crema_1002,I would like a new alarm clock,Female,Unspecified,Anger
123,CREMA-D,./dataset/crema-d\AudioWAV\1002_IWL_DIS_XX.wav,1002_IWL_DIS_XX.wav,.wav,Crema_1002,I would like a new alarm clock,Female,Unspecified,Disgust
124,CREMA-D,./dataset/crema-d\AudioWAV\1002_IWL_FEA_XX.wav,1002_IWL_FEA_XX.wav,.wav,Crema_1002,I would like a new alarm clock,Female,Unspecified,Fear
125,CREMA-D,./dataset/crema-d\AudioWAV\1002_IWL_HAP_XX.wav,1002_IWL_HAP_XX.wav,.wav,Crema_1002,I would like a new alarm clock,Female,Unspecified,Happy
126,CREMA-D,./dataset/crema-d\AudioWAV\1002_IWL_NEU_XX.wav,1002_IWL_NEU_XX.wav,.wav,Crema_1002,I would like a new alarm clock,Female,Unspecified,Neutral
127,CREMA-D,./dataset/crema-d\AudioWAV\1002_IWL_SAD_XX.wav,1002_IWL_SAD_XX.wav,.wav,Crema_1002,I would like a new alarm clock,Female,Unspecified,Sad
128,CREMA-D,./dataset/crema-d\AudioWAV\1002_IWW_ANG_XX.wav,1002_IWW_ANG_XX.wav,.wav,Crema_1002,I wonder what this is about,Female,Unspecified,Anger
129,CREMA-D,./dataset/crema-d\AudioWAV\1002_IWW_DIS_XX.wav,1002_IWW_DIS_XX.wav,.wav,Crema_1002,I wonder what this is about,Female,Unspecified,Disgust
130,CREMA-D,./dataset/crema-d\AudioWAV\1002_IWW_FEA_XX.wav,1002_IWW_FEA_XX.wav,.wav,Crema_1002,I wonder what this is about,Female,Unspecified,Fear
131,CREMA-D,./dataset/crema-d\AudioWAV\1002_IWW_HAP_XX.wav,1002_IWW_HAP_XX.wav,.wav,Crema_1002,I wonder what this is about,Female,Unspecified,Happy
132,CREMA-D,./dataset/crema-d\AudioWAV\1002_IWW_NEU_XX.wav,1002_IWW_NEU_XX.wav,.wav,Crema_1002,I wonder what this is about,Female,Unspecified,Neutral
133,CREMA-D,./dataset/crema-d\AudioWAV\1002_IWW_SAD_XX.wav,1002_IWW_SAD_XX.wav,.wav,Crema_1002,I wonder what this is about,Female,Unspecified,Sad
134,CREMA-D,./dataset/crema-d\AudioWAV\1002_MTI_ANG_XX.wav,1002_MTI_ANG_XX.wav,.wav,Crema_1002,Maybe tomorrow it will be cold,Female,Unspecified,Anger
135,CREMA-D,./dataset/crema-d\AudioWAV\1002_MTI_DIS_XX.wav,1002_MTI_DIS_XX.wav,.wav,Crema_1002,Maybe tomorrow it will be cold,Female,Unspecified,Disgust
136,CREMA-D,./dataset/crema-d\AudioWAV\1002_MTI_FEA_XX.wav,1002_MTI_FEA_XX.wav,.wav,Crema_1002,Maybe tomorrow it will be cold,Female,Unspecified,Fear
137,CREMA-D,./dataset/crema-d\AudioWAV\1002_MTI_HAP_XX.wav,1002_MTI_HAP_XX.wav,.wav,Crema_1002,Maybe tomorrow it will be cold,Female,Unspecified,Happy
138,CREMA-D,./dataset/crema-d\AudioWAV\1002_MTI_NEU_XX.wav,1002_MTI_NEU_XX.wav,.wav,Crema_1002,Maybe tomorrow it will be cold,Female,Unspecified,Neutral
139,CREMA-D,./dataset/crema-d\AudioWAV\1002_MTI_SAD_XX.wav,1002_MTI_SAD_XX.wav,.wav,Crema_1002,Maybe tomorrow it will be cold,Female,Unspecified,Sad
140,CREMA-D,./dataset/crema-d\AudioWAV\1002_TAI_ANG_XX.wav,1002_TAI_ANG_XX.wav,.wav,Crema_1002,The airplane is almost full,Female,Unspecified,Anger
141,CREMA-D,./dataset/crema-d\AudioWAV\1002_TAI_DIS_XX.wav,1002_TAI_DIS_XX.wav,.wav,Crema_1002,The airplane is almost full,Female,Unspecified,Disgust
142,CREMA-D,./dataset/crema-d\AudioWAV\1002_TAI_FEA_XX.wav,1002_TAI_FEA_XX.wav,.wav,Crema_1002,The airplane is almost full,Female,Unspecified,Fear
143,CREMA-D,./dataset/crema-d\AudioWAV\1002_TAI_HAP_XX.wav,1002_TAI_HAP_XX.wav,.wav,Crema_1002,The airplane is almost full,Female,Unspecified,Happy
144,CREMA-D,./dataset/crema-d\AudioWAV\1002_TAI_NEU_XX.wav,1002_TAI_NEU_XX.wav,.wav,Crema_1002,The airplane is almost full,Female,Unspecified,Neutral
145,CREMA-D,./dataset/crema-d\AudioWAV\1002_TAI_SAD_XX.wav,1002_TAI_SAD_XX.wav,.wav,Crema_1002,The airplane is almost full,Female,Unspecified,Sad
146,CREMA-D,./dataset/crema-d\AudioWAV\1002_TIE_ANG_XX.wav,1002_TIE_ANG_XX.wav,.wav,Crema_1002,That is exactly what happened,Female,Unspecified,Anger
